Channel,Marker,Type
Bi209Di,CD11c,type
Dy161Di,Tbet,state
Dy162Di,Ly6C,type
Dy164Di,CD62L,state
Er166Di,CD326_EpCAM,none
Er167Di,Gata3,state
Er170Di,CD49b,type
Eu151Di,IgM,type
Eu153Di,CD8a,type
Gd158Di,Foxp3,state
Gd160Di,CD5,type
Lu175Di,CD38,state
Nd144Di,CD45R,type
Nd145Di,CD69,state
Nd146Di,F4_80,type
Nd148Di,CD11b_Mac1,type
Nd150Di,CD25_IL2R,state
Pr141Di,Ly6G,type
Sm149Di,CD19,type
Sm152Di,CD3e,type
Tb159Di,ROR_gamma_t,state
Tm169Di,CD206_MMR,type
Y89Di,CD45,none
Yb171Di,CD44,state
Yb172Di,CD4,type
Yb173Di,CD117_ckit,type
Yb174Di,I_A_I_E_MHC_class_II,type
Yb176Di,FceR1a,type